order_id,order_date,region,channel,product_category,customer_segment,quantity,unit_price,discount_pct,returned
1001,2026-01-03,North,Online,Software,Student,2,79,0.10,No
1002,2026-01-04,South,Partner,Hardware,Enterprise,1,420,0.05,No
1003,2026-01-08,West,Online,Software,Professional,4,79,0.00,No
1004,2026-01-10,East,Direct,Services,Enterprise,1,850,0.15,No
1005,2026-01-12,North,Online,Hardware,Student,1,230,0.20,Yes
1006,2026-01-15,South,Direct,Software,Professional,3,99,0.05,No
1007,2026-01-18,West,Partner,Services,Enterprise,2,650,0.10,No
1008,2026-01-21,East,Online,Software,Student,5,49,0.00,No
1009,2026-02-02,North,Direct,Hardware,Professional,2,310,0.08,No
1010,2026-02-07,South,Online,Software,Student,6,49,0.12,No
1011,2026-02-09,West,Direct,Services,Professional,1,700,0.00,Yes
1012,2026-02-12,East,Partner,Hardware,Enterprise,3,390,0.10,No
1013,2026-02-14,North,Online,Software,Enterprise,7,99,0.05,No
1014,2026-02-20,South,Partner,Services,Enterprise,2,800,0.20,No
1015,2026-02-25,West,Online,Hardware,Student,1,210,0.00,No
1016,2026-03-01,East,Direct,Software,Professional,4,89,0.05,No
1017,2026-03-03,North,Partner,Services,Enterprise,1,950,0.10,No
1018,2026-03-06,South,Online,Hardware,Professional,2,280,0.15,No
1019,2026-03-10,West,Direct,Software,Student,3,59,0.00,No
1020,2026-03-13,East,Partner,Services,Enterprise,2,720,0.12,No
